Rabbit-population,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-infant factor,Rabbit-growth factor,Rabbit-speed,Rabbit-heat Timer,Fox-population,Fox-max size,Fox-diet factor,Fox-#children,Fox-infant factor,Fox-growth factor,Fox-speed,Fox-heat Timer
20,3,0,2,0.1,0.2,3,20,20,3,0,2,0.1,0.2,3,20
20,3,0,2,0.1,0.2,3,20,20,3,0,2,0.1,0.2,3,20
20,3,0,2,0.1,0.2,3,20,20,3,0,2,0.1,0.2,3,20
20,3,0,2,0.1,0.2,3,20,20,3,0,2,0.1,0.2,3,20
20,3,0,2,0.1,0.2,3,20,20,3,0,2,0.1,0.2,3,20
20,3,0,2,0.1,0.2,3,20,20,3,0,2,0.1,0.2,3,20
24,2.99902488412096,0.00261461391953345,1.91666666666667,0.101993888972557,0.198425519506412,3.00495822874206,20.00202691916,20,3,0,2,0.1,0.2,3,20
26,2.99882508737625,0.00383589765719162,1.88461538461538,0.0993287776378798,0.198654069826097,3.00474839901164,19.9996878882081,20,3,0,2,0.1,0.2,3,20
26,2.99882508737625,0.00383589765719162,1.88461538461538,0.0993287776378798,0.198654069826097,3.00474839901164,19.9996878882081,20,3,0,2,0.1,0.2,3,20
26,2.99882508737625,0.00383589765719162,1.88461538461538,0.0993287776378798,0.198654069826097,3.00474839901164,19.9996878882081,20,3,0,2,0.1,0.2,3,20
28,2.99820652502738,0.00417524188219614,1.85714285714286,0.0988855538635115,0.19811959611497,3.00447022304912,20.0007658074214,20,3,0,2,0.1,0.2,3,20
34,2.99813344731639,0.00495955780900331,1.76470588235294,0.1011886665808,0.198584391161359,3.00327339335605,19.9968197214511,20,3,0,2,0.1,0.2,3,20
31,2.9934210615977,0.00648497906815967,1.70967741935484,0.099464641198285,0.198909336515425,3.00151716628216,19.9970813756073,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
31,2.9934210615977,0.00648497906815967,1.70967741935484,0.099464641198285,0.198909336515425,3.00151716628216,19.9970813756073,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
31,2.9934210615977,0.00648497906815967,1.70967741935484,0.099464641198285,0.198909336515425,3.00151716628216,19.9970813756073,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
33,2.99441428371585,0.0079414809583035,1.6969696969697,0.098359714730884,0.200447065924944,3.00121172801228,19.9953872579847,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
34,2.9958146489311,0.00874671653827576,1.67647058823529,0.0983036099012279,0.199453036009261,3.00333859644695,19.9936731638624,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
36,2.99570271706924,0.00826078784170488,1.66666666666667,0.0984593612320279,0.199846328991875,3.00325804468044,19.995052610014,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
37,2.99541350643021,0.00802468117008375,1.64864864864865,0.0980347908554869,0.202428241666334,3.00161970148603,19.9924855465969,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
35,2.9936631265711,0.00730181014771812,1.65714285714286,0.0980818384584749,0.20031267981411,3.00008067381727,19.9944842455089,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
35,2.9936631265711,0.00730181014771812,1.65714285714286,0.0980818384584749,0.20031267981411,3.00008067381727,19.9944842455089,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
35,2.9936631265711,0.00730181014771812,1.65714285714286,0.0980818384584749,0.20031267981411,3.00008067381727,19.9944842455089,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
39,2.99491514907962,0.00890690522647731,1.61538461538462,0.100048472226124,0.202764511983268,2.99777239656756,19.9939770780109,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
43,2.99551579560979,0.010103467319992,1.53488372093023,0.0982322535747372,0.203320641657256,2.99948809754102,19.9948064659888,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
40,2.99445134553257,0.0130181199445516,1.5,0.0937539638308558,0.201867792337827,2.99534365356092,19.9948107483488,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
35,2.99680977799699,0.0147176450782254,1.45714285714286,0.0943197317329074,0.201786456475596,2.99539647240402,19.9935974834325,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
34,2.99671594793807,0.0151505169922908,1.44117647058824,0.0941526650191694,0.201838999313113,2.99526107453355,19.9934091741217,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
34,2.99747113552631,0.0142467818402186,1.41176470588235,0.0920489087176314,0.202263495817938,2.99393504800738,19.9947146273769,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
36,2.99654358851225,0.0146198976190021,1.44444444444444,0.0920421476423254,0.2016785111518,2.99215560211029,19.9939424181064,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
34,2.99737935560511,0.0148095068498225,1.44117647058824,0.0925733230824774,0.202084800228637,2.98841286610876,19.9946444820546,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
31,2.99746214634683,0.0162426849320634,1.45161290322581,0.0897876649525813,0.200870169345869,2.98765345923854,19.9986890283328,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
30,2.99848054415502,0.0167841077631322,1.46666666666667,0.0901777202395351,0.202277555822305,2.98862713764346,19.9963130512028,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
34,3.00354978951185,0.0173129212399823,1.41176470588235,0.0920799744698433,0.199019549977469,2.99285303188406,19.9989913463751,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
29,3.0059436235361,0.0157820584666137,1.44827586206897,0.0900747561622739,0.1999393081328,2.99067800923162,20.0004648076337,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
28,3.00496761351879,0.0135118429510293,1.46428571428571,0.0934658250027044,0.203235005165167,2.99498837589209,20.0006609936494,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
22,3.00632241720573,0.0171968910285827,1.31818181818182,0.0916837772761692,0.204117279301122,2.99362156931721,20.0008412646447,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
20,3.00468991737157,0.0174012038644104,1.35,0.0963052052677838,0.201379175995782,2.99559022786051,20.0017932770919,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
19,3.00331729716582,0.019493382838912,1.31578947368421,0.0992632931121952,0.199535666917713,2.99792516496324,20.0006782758701,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
18,3.00074189318666,0.0203091031812175,1.33333333333333,0.099720498682913,0.201202322458672,2.99734524331626,20.0022745327852,0,Infinity,NaN,Infinity,Infinity,Infinity,Infinity,Infinity
