Rabbit-population,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-infant factor,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius,Fox-population,Fox-max size,Fox-diet factor,Fox-#children,Fox-infant factor,Fox-speed,Fox-heat Timer,Fox-sight length,Fox-smell radius
20,3,0,2.1,0.1,3,20,30,25,20,2,1,2,0.1,11,20,30,25
20,3,0,2.1,0.1,3,20,30,25,20,2,1,2,0.1,11,20,30,25
20,3,0,2.1,0.1,3,20,30,25,20,2,1,2,0.1,11,20,30,25
19,3,0,2.1,0.1,3,20,30,25,20,2,1,2,0.1,11,20,30,25
19,3,0,2.1,0.1,3,20,30,25,20,2,1,2,0.1,11,20,30,25
19,3,0,2.1,0.1,3,20,30,25,1,2,1,2,0.1,11,20,30,25
19,3,0,2.1,0.1,3,20,30,25,1,2,1,2,0.1,11,20,30,25
19,3,0,2.1,0.1,3,20,30,25,1,2,1,2,0.1,11,20,30,25
19,3,0,2.1,0.1,3,20,30,25,1,2,1,2,0.1,11,20,30,25
19,3,0,2.1,0.1,3,20,30,25,1,2,1,2,0.1,11,20,30,25
29,2.85503257098642,0,2.1060113340729,0.0987284577651553,2.93299054994178,19.7791115481522,29.3629794421921,25.8369772386734,1,2,1,2,0.1,11,20,30,25
27,2.84429424291134,0,2.1064566180783,0.0986342694514631,2.9280268869745,19.7627494406079,29.3157927342064,25.8989755526492,1,2,1,2,0.1,11,20,30,25
29,2.81510800058223,0,2.13753059504071,0.0985848162215107,2.92672893005416,19.5501352705598,29.6314023528845,26.4855807004275,1,2,1,2,0.1,11,20,30,25
29,2.81510800058223,0,2.13753059504071,0.0985848162215107,2.92672893005416,19.5501352705598,29.6314023528845,26.4855807004275,1,2,1,2,0.1,11,20,30,25
28,2.83819331996619,0,2.12266783602942,0.099506144798752,2.94596591955651,19.5175168327647,29.7821675729018,26.4260038313721,1,2,1,2,0.1,11,20,30,25
