Rabbit-population,Rabbit-born children,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
37,0,3,0,2.1,10,13,30,25
36,0,3,0,2.1,10,13,30,25
31,0,3,0,2.1,10,13,30,25
10,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
39,0,3,0,2.1,10,13,30,25
37,0,3,0,2.1,10,13,30,25
14,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
40,0,3,0,2.1,10,13,30,25
38,0,3,0,2.1,10,13,30,25
37,0,3,0,2.1,10,13,30,25
30,0,3,0,2.1,10,13,30,25
11,0,3,0,2.1,10,13,30,25
1,0,3,0,2.1,10,13,30,25
