Rabbit-population,Rabbit-born children,Rabbit-max size,Rabbit-diet factor,Rabbit-#children,Rabbit-speed,Rabbit-heat Timer,Rabbit-sight length,Rabbit-smell radius,Fox-population,Fox-born children,Fox-max size,Fox-diet factor,Fox-#children,Fox-speed,Fox-heat Timer,Fox-sight length,Fox-smell radius
40,0,3,0,2,10,13,30,20,20,0,3,1,2,8,13,30,20
40,0,3,0,2,10,13,30,20,20,0,3,1,2,8,13,30,20
37,0,3,0,2,10,13,30,20,20,0,3,1,2,8,13,30,20
30,2,3.02348229672959,0,2,10,13,30,20,24,4,3.03698829210761,1,2,8,12.7522813584838,30,20
26,2,3.02709495776491,0,2,10,13,30,20,24,4,3.03698829210761,1,2,8,12.7522813584838,30,20
22,2,3.03202131372217,0,2,10,13,30,20,28,8,3.03170425037796,1,2,8,12.7876697358432,30,20
17,2,3,0,2,10,13,30,20,26,10,3.03414303886857,1,2,8,13,30,20
16,2,3,0,2,10,13,30,20,21,10,3.04227233383727,1,2,8,13,30,20
13,2,3,0,2,10,13,30,20,21,10,3.04227233383727,1,2,8,13,30,20
3,2,3,0,2,10,13,30,20,13,10,3.06828607773713,1,2,8,13,30,20
3,2,3,0,2,10,13,30,20,12,10,3,1,2,8,13,30,20
0,2,3,0,2,10,13,30,20,9,10,3,1,2,8,13,30,20
0,2,3,0,2,10,13,30,20,7,10,3,1,2,8,13,30,20
0,2,3,0,2,10,13,30,20,5,10,3,1,2,8,13,30,20
40,0,3,0,1.99585541009627,10,13.1138552467422,30.0085203498482,20.1107622645028,20,0,2.96784236374992,1,1.97597421382569,8.02622410395788,13.4583386956483,29.8640296985959,19.9644487752518
40,0,3,0,1.99585541009627,10,13.1138552467422,30.0085203498482,20.1107622645028,20,0,2.96784236374992,1,1.97597421382569,8.02622410395788,13.4583386956483,29.8640296985959,19.9644487752518
38,0,3,0,1.99563727378555,10,13.1198476281497,30.0089687893139,20.1165918573714,20,0,2.96784236374992,1,1.97597421382569,8.02622410395788,13.4583386956483,29.8640296985959,19.9644487752518
45,8,3,0,1.99631592008557,10,13.3754031386458,30.0075736443095,20.0984553462247,20,0,2.96784236374992,1,1.97597421382569,8.02622410395788,13.4583386956483,29.8640296985959,19.9644487752518
40,8,3,0,1.99585541009627,10,13.4223285309765,30.0085203498482,20.1107622645028,20,0,2.96784236374992,1,1.97597421382569,8.02622410395788,13.4583386956483,29.8640296985959,19.9644487752518
39,8,3,0,1.99574913856028,10,13.4331574676682,30.0087388203571,20.113602322567,20,0,2.96784236374992,1,1.97597421382569,8.02622410395788,13.4583386956483,29.8640296985959,19.9644487752518
32,8,3,0,1.99481926262034,10,13.4269571752834,30.0106504373102,20.1384528306285,20,0,2.96784236374992,1,1.97597421382569,8.02622410395788,13.4583386956483,29.8640296985959,19.9644487752518
24,8,3,0,1.99309235016045,10,13.5692762337112,30.0142005830803,20.1846037741714,20,0,2.96784236374992,1,1.97597421382569,8.02622410395788,13.4583386956483,29.8640296985959,19.9644487752518
20,8,3,0,1.99171082019254,10,13,30.0170406996963,20.2215245290057,20,0,2.96784236374992,1,1.97597421382569,8.02622410395788,13.4583386956483,29.8640296985959,19.9644487752518
4,8,3,0,1.94836279265755,10,13,30,19.3397082416764,3,0,3,1,2,8,13,30,20
4,8,3,0,1.94836279265755,10,13,30,19.3397082416764,3,0,3,1,2,8,13,30,20
0,8,3,0,1.94836279265755,10,13,30,19.3397082416764,3,0,3,1,2,8,13,30,20
0,8,3,0,1.94836279265755,10,13,30,19.3397082416764,3,0,3,1,2,8,13,30,20
0,8,3,0,1.94836279265755,10,13,30,19.3397082416764,2,0,3,1,2,8,13,30,20
40,0,3,0,1.95903952844338,9.95883619603715,12.9112847907091,30.0187317829951,20.0447330886705,20,0,3,1,2,8,13.8247224825865,30,19.8814542746142
40,0,3,0,1.95903952844338,9.95883619603715,12.9112847907091,30.0187317829951,20.0447330886705,20,0,3,1,2,8,13.8247224825865,30,19.8814542746142
38,0,3,0,1.95688371415092,9.9566696800391,12.9066155691675,30.0197176663106,19.860991208774,20,0,3,1,2,8,13.8247224825865,30,19.8814542746142
45,8,3,0,1.94350650071814,10.1054712597059,12.9211420361858,30.0166504737734,19.8826147985202,20,0,3,1,2,8,13.8247224825865,30,19.8814542746142
41,8,3,0,1.9379949398126,10.2338814211688,12.9134485763015,30.0182749102391,19.8711625837417,20,0,3,1,2,8,13.8247224825865,30,19.8814542746142
37,8,3,0,1.93129169006261,10.259165899133,12.9526806474053,30.0202505762109,19.8572342144165,20,0,3,1,2,8,13.8247224825865,30,19.8814542746142
23,8,3,0,1.95567114830839,10,13.0431010936482,30.0325770139044,19.7703333014526,20,0,3,1,2,8,13.8247224825865,30,19.8814542746142
22,8,3,0,1.9630447836574,10,13.0450602342686,30.0340577872637,19.7598939060641,20,0,3,1,2,8,13.8247224825865,30,19.8814542746142
19,8,3,0,1.96413961021279,10,13.0521750081005,30,19.860991208774,20,0,3,1,2,8,13.8247224825865,30,19.8814542746142
0,8,3,0,1.96413961021279,10,13.0521750081005,30,19.860991208774,3,0,3,1,2,8,13,30,20
0,8,3,0,1.96413961021279,10,13.0521750081005,30,19.860991208774,3,0,3,1,2,8,13,30,20
0,8,3,0,1.96413961021279,10,13.0521750081005,30,19.860991208774,3,0,3,1,2,8,13,30,20
0,8,3,0,1.96413961021279,10,13.0521750081005,30,19.860991208774,3,0,3,1,2,8,13,30,20
0,8,3,0,1.96413961021279,10,13.0521750081005,30,19.860991208774,3,0,3,1,2,8,13,30,20
40,0,2.98069613228515,0,1.93531835554882,10.0047772781417,13,30.1513453358675,19.7437466207759,20,0,3.00983556683668,1,2,7.97900348363748,12.8823009332562,29.9561364190516,20.1431926509027
