Fitness,Round duration,Maximum alive animals,Age death ratio,Born animals
1719,66,40,0.0121951219512195,2
1547,66,46,0.0078125,6
1426,45,42,0.00588235294117647,2
1553,44,40,0.00471698113207547,2
1573,51,42,0.00390625,4
1436,42,44,0.0033112582781457,6
1582,59,42,0.00290697674418605,2
1552,67,44,0.0077319587628866,4
1915,66,40,0.0186915887850467,0
1807,67,42,0.0276595744680851,2
1673,66,42,0.033203125,2
1637,66,40,0.036231884057971,0
1438,64,44,0.0352348993288591,4
1536,67,42,0.0344827586206897,2
1860,67,40,0.0368731563421829,0
2009,67,40,0.0417827298050139,0
1946,67,40,0.0435356200527705,0
1932,66,40,0.0476190476190476,0
2373,66,40,0.0572792362768496,0
1980,66,40,0.061503416856492,0
