from,to,weight
FoodClose,FoodClose,0
FoodClose,FoodFar,0
FoodClose,WaterClose,0
FoodClose,WaterFar,0
FoodClose,Idle,0
FoodClose,Resting,0
FoodClose,GoingToFood,0.05
FoodClose,GoingToWater,0
FoodClose,Eating,0
FoodClose,Drinking,0
FoodClose,SearchingForMate,0
FoodClose,Reproducing,0
FoodFar,FoodClose,0
FoodFar,FoodFar,0
FoodFar,WaterClose,0
FoodFar,WaterFar,0
FoodFar,Idle,0
FoodFar,Resting,0
FoodFar,GoingToFood,-0.05
FoodFar,GoingToWater,0
FoodFar,Eating,0
FoodFar,Drinking,0
FoodFar,SearchingForMate,0
FoodFar,Reproducing,0
WaterClose,FoodClose,0
WaterClose,FoodFar,0
WaterClose,WaterClose,0
WaterClose,WaterFar,0
WaterClose,Idle,0
WaterClose,Resting,0
WaterClose,GoingToFood,0
WaterClose,GoingToWater,0.05
WaterClose,Eating,0
WaterClose,Drinking,0
WaterClose,SearchingForMate,0
WaterClose,Reproducing,0
WaterFar,FoodClose,0
WaterFar,FoodFar,0
WaterFar,WaterClose,0
WaterFar,WaterFar,0
WaterFar,Idle,0
WaterFar,Resting,0
WaterFar,GoingToFood,0
WaterFar,GoingToWater,-0.05
WaterFar,Eating,0
WaterFar,Drinking,0
WaterFar,SearchingForMate,0
WaterFar,Reproducing,0
Idle,FoodClose,0
Idle,FoodFar,0
Idle,WaterClose,0
Idle,WaterFar,0
Idle,Idle,0
Idle,Resting,0
Idle,GoingToFood,0
Idle,GoingToWater,0
Idle,Eating,0
Idle,Drinking,0
Idle,SearchingForMate,0
Idle,Reproducing,0
Resting,FoodClose,0
Resting,FoodFar,0
Resting,WaterClose,0
Resting,WaterFar,0
Resting,Idle,0
Resting,Resting,0
Resting,GoingToFood,0
Resting,GoingToWater,0
Resting,Eating,0
Resting,Drinking,0
Resting,SearchingForMate,0
Resting,Reproducing,0
GoingToFood,FoodClose,0
GoingToFood,FoodFar,0
GoingToFood,WaterClose,0
GoingToFood,WaterFar,0
GoingToFood,Idle,0
GoingToFood,Resting,0
GoingToFood,GoingToFood,0
GoingToFood,GoingToWater,0
GoingToFood,Eating,0
GoingToFood,Drinking,0
GoingToFood,SearchingForMate,0
GoingToFood,Reproducing,0
GoingToWater,FoodClose,0
GoingToWater,FoodFar,0
GoingToWater,WaterClose,0
GoingToWater,WaterFar,0
GoingToWater,Idle,0
GoingToWater,Resting,0
GoingToWater,GoingToFood,0
GoingToWater,GoingToWater,0
GoingToWater,Eating,0
GoingToWater,Drinking,0
GoingToWater,SearchingForMate,0
GoingToWater,Reproducing,0
Eating,FoodClose,0
Eating,FoodFar,0
Eating,WaterClose,0
Eating,WaterFar,0
Eating,Idle,0
Eating,Resting,0
Eating,GoingToFood,0
Eating,GoingToWater,0
Eating,Eating,0
Eating,Drinking,0
Eating,SearchingForMate,0
Eating,Reproducing,0
Drinking,FoodClose,0
Drinking,FoodFar,0
Drinking,WaterClose,0
Drinking,WaterFar,0
Drinking,Idle,0
Drinking,Resting,0
Drinking,GoingToFood,0
Drinking,GoingToWater,0
Drinking,Eating,0
Drinking,Drinking,0
Drinking,SearchingForMate,0
Drinking,Reproducing,0
SearchingForMate,FoodClose,0
SearchingForMate,FoodFar,0
SearchingForMate,WaterClose,0
SearchingForMate,WaterFar,0
SearchingForMate,Idle,0
SearchingForMate,Resting,0
SearchingForMate,GoingToFood,0
SearchingForMate,GoingToWater,0
SearchingForMate,Eating,0
SearchingForMate,Drinking,0
SearchingForMate,SearchingForMate,0
SearchingForMate,Reproducing,0
Reproducing,FoodClose,0
Reproducing,FoodFar,0
Reproducing,WaterClose,0
Reproducing,WaterFar,0
Reproducing,Idle,0
Reproducing,Resting,0
Reproducing,GoingToFood,0
Reproducing,GoingToWater,0
Reproducing,Eating,0
Reproducing,Drinking,0
Reproducing,SearchingForMate,0
Reproducing,Reproducing,0
